lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
-50.50,286.50,137.83,109.38,110.17,111.71,161.28,195.38,214.04,215.31,230.36,243.36,202.12,155.69
-50.50,287.50,61.03,46.73,45.41,43.80,54.02,68.74,84.47,102.49,108.58,107.17,91.34,73.34
-50.50,288.50,40.09,31.43,30.31,28.01,30.23,33.68,43.13,56.15,62.88,64.97,57.95,47.83
-45.50,288.50,4.63,3.24,3.17,2.88,3.16,4.22,6.17,8.28,8.71,8.58,7.35,5.70
-45.50,289.50,1.74,1.18,1.03,0.80,0.83,1.04,1.77,2.97,3.59,3.68,3.09,2.31
-44.50,289.50,2.14,1.43,1.21,0.92,0.95,1.17,2.10,3.55,4.38,4.55,3.78,2.75
-43.50,291.50,5.57,4.12,3.61,2.53,2.95,3.10,5.19,7.01,9.09,10.55,9.44,7.26
-42.50,290.50,16.47,11.41,9.42,6.72,6.50,7.68,12.58,19.26,24.42,28.31,26.23,20.48
-41.50,288.50,32.57,21.09,16.62,12.93,17.27,42.08,68.56,76.90,76.25,72.04,58.44,43.35
-41.50,289.50,13.11,8.74,6.98,5.07,5.43,9.26,16.13,23.93,27.29,28.52,23.58,17.35
-41.50,290.50,93.00,66.62,54.84,38.60,39.73,48.19,77.80,122.84,153.31,171.84,152.95,118.72
-41.50,291.50,56.69,42.48,34.54,25.14,25.62,31.12,48.92,73.87,92.53,102.47,92.03,72.38
-41.50,292.50,3.20,2.58,2.00,1.63,1.67,1.99,2.89,4.02,5.34,6.04,5.46,4.21
-40.50,289.50,12.27,8.24,6.56,4.82,5.37,9.13,14.97,21.69,24.73,26.03,21.89,16.21
-40.50,290.50,6.92,5.01,4.12,2.97,3.10,3.61,5.51,8.48,10.75,12.49,11.28,8.80
-40.50,291.50,4.01,3.03,2.43,1.84,1.88,2.02,2.93,4.77,6.14,7.06,6.36,4.98
-40.50,292.50,2.97,2.44,1.91,1.58,1.63,1.79,2.42,3.51,4.59,5.41,4.86,3.73
-40.50,293.50,2.63,2.29,1.89,1.71,1.85,1.86,2.32,3.12,4.06,4.78,4.27,3.38
-40.50,294.50,1.93,1.75,1.66,1.52,1.64,1.46,1.86,2.38,3.02,3.51,3.09,2.41
-40.50,295.50,1.64,1.69,1.74,1.53,1.71,1.48,1.88,2.19,2.71,3.03,2.51,2.05
-39.50,289.50,13.54,8.87,6.97,5.13,5.75,9.37,15.36,21.15,24.51,27.29,24.39,18.17
-39.50,290.50,2.87,2.18,1.78,1.33,1.42,1.46,2.17,2.95,3.86,4.88,4.49,3.60
-39.50,291.50,0.71,0.69,0.50,0.43,0.60,0.54,0.61,0.87,1.04,1.20,1.04,0.83
